Start,License Number,Expdttm,Issdttm,Company,Inactive,Inactive Date
03/06/2012,371176,09/24/2012,03/02/2012,CINTRON TRANSPORTATION,Y,09/24/2012
03/15/2012,371211,11/20/2014,03/27/2012,DINO'S SANDWICH-N-VARIETY SHOP,N,
03/15/2012,371212,08/14/2012,03/28/2012,LULIEE'S RESTAURANT,Y,08/14/2012
03/09/2012,371237,,03/28/2012,LA LECHONERA DEL SABOR,N,
,371263,,03/12/2012,AQUATIC FACILITY DESIGN INC,N,
01/01/2012,371264,,03/12/2012,AQUA CHEMICAL SUPPLY INC,N,
11/08/2011,371265,12/04/2014,03/12/2012,TRUCK DRIVERS UNITED INC,Y,12/04/2014
03/01/2012,371313,11/06/2013,03/15/2012,BIDO MULTI SERVICE LLC,Y,11/06/2013
03/01/2012,371327,,03/15/2012,CHERYL MCKENTLY,N,
01/01/2012,371334,,03/28/2012,LEO VALMONTE,N,
04/01/2012,371341,,03/28/2012,ALEX & STEPFANIE PINEIRO,N,
05/01/2012,371342,,03/19/2012,OSCAR FORONDA,N,
01/01/2012,370710,,02/06/2012,RICHARD EAST,N,
11/01/2011,370711,,02/06/2012,RICHARD & JUDITH DIEDRICH,N,
01/01/2012,370712,04/26/2013,02/06/2012,KATHERINE NAZARIO,N,
04/01/2011,370715,,02/06/2012,MICHAEL FACKLER,N,
06/01/2010,370721,,02/06/2012,TROY GOOD,N,
11/01/2011,370722,,02/06/2012,ANDRE SIMON,N,
01/31/2012,370731,10/14/2013,02/06/2012,FABULOUS FURNITURE LLC,Y,10/14/2013
09/01/2011,370795,,03/01/2012,JULIANY V GARCIA,N,
01/25/2012,370804,,02/06/2012,RICHARD A FLEMING,N,
02/07/2012,370816,,03/01/2012,THE SECRET BARBERSHOP,N,
02/08/2012,370823,10/31/2013,02/08/2012,ALL IN ONE FINANCIAL LLC,Y,10/31/2013
02/01/2011,370849,,02/09/2012,ROBERT DONAGHY JR,N,
01/05/2012,370868,,02/09/2012,MERCES BELLO,N,
09/01/2011,370877,,02/10/2012,PETER & MICHELLE CERVOLA,N,
02/13/2012,370910,,03/01/2012,GRECIA RODRIGUEZ,N,
01/01/2012,371259,,03/09/2012,IKRE HOLDINGS INC,N,
11/01/2011,371260,,03/09/2012,SIGMABIT TECHNOLOGY INC,N,
03/12/2012,371271,11/06/2013,03/28/2012,PEDRO L BEDOYA,Y,11/06/2013
04/01/2012,371343,,03/28/2012,MANUEL S ROMERO,N,
01/01/2010,371345,,03/28/2012,ROSA SALCICO AND JULIA SALCIDO,N,
01/01/2009,371360,,03/22/2012,SHIRLEY CARRASQUILLO,N,
03/01/2012,371361,,03/28/2012,CINDY GARCIA,N,
06/01/2012,371366,02/07/2014,03/28/2012,JOSE MIGUEL BATISTA,Y,02/07/2014
03/22/2012,371367,,03/28/2012,HOUSE OF TIRES LLC,Y,05/14/2012
03/01/2012,371118,04/01/2012,03/01/2012,OMEGA SANCHEZ,Y,05/09/2013
01/01/2012,371119,02/06/2014,03/01/2012,JENNIFER BENSON,Y,02/27/2014
07/01/2012,371120,,03/01/2012,LIZBETH ARROYO,N,
03/15/2012,371330,,03/15/2012,RAMON RAMIREZ,N,
04/01/2012,371351,,03/20/2012,DAURY M GRULLON,N,
01/11/2012,371368,,03/28/2012,CRISTINA SEVERINO,N,
03/22/2012,371396,,03/28/2012,AJ REALTORS LLC,N,
03/22/2012,371400,02/28/2013,03/28/2012,VENEZIA'S PIZZERIA,Y,05/08/2013
12/01/2011,371403,,03/28/2012,RAFAEL VILLANUEVA,N,
01/01/2012,371415,,03/28/2012,GIORDANO HOLDINGS & REALTY,N,
03/01/2012,371471,01/08/2013,03/28/2012,ROBERTO & GUADALUPE MARTINEZ,Y,01/08/2013
01/02/2012,371565,,03/27/2012,HARTERS METRO CAB,N,
04/01/2012,371566,,03/27/2012,RAYMOND P CAPOIS KING,N,
01/01/2012,371567,,03/27/2012,GONZALEZ METRO CAB,N,
03/23/2012,371568,,03/27/2012,LA REYNA MINIMARKET,N,
02/01/2012,371585,,03/28/2012,YUDELKA CARTAGENA RODRIGUEZ,N,
10/01/2011,371588,10/04/2012,03/28/2012,SUSAN BERUBE,Y,10/04/2012
07/01/2012,371612,,03/29/2012,AGNES STAMM,N,
04/01/2012,371617,,03/29/2012,STEVEN DAWSON,N,
04/01/2012,371633,,03/30/2012,MANUEL PEREZ,N,
08/01/2011,371714,,04/06/2012,JOHN AYALA,N,
11/01/2011,371715,,04/06/2012,HECTOR VIVENES,N,
04/06/2012,371719,,04/06/2012,DIXON & LEE ENTERPRISES,N,
03/02/2012,371177,,03/28/2012,MADELYN MORALES,N,
03/02/2012,371179,,03/28/2012,JOSEPH RADER M,N,
04/01/2012,371188,,03/28/2012,VIRGILIO RIVERA,N,
03/14/2012,371296,,03/14/2012,BIENVENIDO APONTE,N,
12/10/2011,371745,,04/10/2012,YSAIAS GONZALEZ,N,
01/01/2011,371746,,04/10/2012,MARIA VEGA,N,
04/10/2012,371748,04/18/2013,04/10/2012,EDELISA DOMINICAN UNISEX SALON,N,
01/01/2012,371768,,04/11/2012,ARISTILDE RENTALS LLP,N,
04/12/2012,371772,,04/12/2012,GEORGE RAMOS TAXI DRIVER,Y,09/18/2012
04/12/2012,371774,,04/12/2012,FILPO TAXI DRIVER,N,
05/30/2012,372356,,,HAITIAN PASSION FAMILY REST,N,
05/30/2012,371778,11/26/2013,04/12/2012,HAITIAN PASSION FAMILY REST,Y,04/01/2014
03/26/2012,371780,,04/12/2012,OLEG NAVARICH,N,
06/01/2012,371782,,04/12/2012,TROPIC HOLDINGS LLC,N,
04/01/2012,371783,,04/12/2012,READING STORAGE,N,
04/15/2012,371787,06/13/2014,04/12/2012,COOPER ASSET MANAGEMENT LLC,N,
04/16/2012,371832,04/25/2014,04/16/2012,THE LAWN GUY,N,
07/01/2005,371842,,04/16/2012,PAUL MCCAUGHEY,N,
06/01/2011,371858,,04/16/2012,A & O MAINTENANCE LLC,N,
04/17/2012,371859,,04/17/2012,ENCARNACION METRO,N,
06/01/2012,371861,03/14/2014,04/17/2012,ALEJANDRO L BELTRAN,N,
08/08/2011,371916,,04/23/2012,JASON RITZ,N,
04/24/2012,371971,,04/24/2012,COZY CORNER COUNTRY STORE,Y,12/21/2012
04/24/2012,371848,02/06/2013,04/24/2012,JOHN PRICE,Y,02/06/2013
05/01/2012,371974,,04/24/2012,SISTER'S GROCERY,N,
04/24/2012,371975,,04/24/2012,OLIVIA ENGLEBACH,N,
07/01/2012,51607185H,06/30/2014,09/15/2009,718 1/2 MOSS STREET LLC,N,
07/01/2012,371987,,04/26/2012,718 1/2 MOSS STREET LLC,N,
04/26/2012,371995,,04/27/2012,MCCRACKEN READING METRO TAXI,N,
04/30/2012,371996,,04/30/2012,CAROLE W KALINOWSKI,N,
03/31/2012,371321,03/10/2014,03/28/2012,AZALIA G HERNANDEZ,Y,03/31/2014
03/01/2011,371328,10/31/2013,03/28/2012,CARL RINKEVICH,Y,12/03/2014
04/02/2012,371636,,04/02/2012,BAD MOON ENTERPRISES,N,
09/10/2007,352867,12/31/2007,,FRANKLIN BANK SSB,Y,12/21/2012
04/10/2012,371749,11/13/2014,04/10/2012,BARAHONA AUTO SALES,N,
05/01/2012,372002,,04/30/2012,KINGS BARBER SHOP,Y,12/03/2012
05/01/2012,372012,,05/01/2012,OLIVARES GROCERY III LLC,N,
02/01/2012,372075,,05/07/2012,ORANTES PROPERTIES LLC,N,
05/01/2012,372079,,05/07/2012,OSCAR OCASIO,N,
04/21/2012,372081,,05/07/2012,ECOCOUTURE LTD,N,
03/01/2012,372082,,05/08/2012,COMCAST BROADBAND SECURITY LLC,N,
05/08/2012,372083,,05/08/2012,JACOB ALBEE DESIGNS INC,N,
05/10/2012,372104,10/28/2014,05/10/2012,SAMMY'S STEAKS,Y,10/28/2014
06/01/2012,372106,,05/10/2012,DMPS LLC,N,
05/14/2012,372135,,05/14/2012,HOUSE OF TIRES WHOLESALE INC,N,
05/14/2012,372136,,05/14/2012,HOUSE OF TIRES WHOLESALE INC,N,
06/15/2012,372137,,05/14/2012,D'MORENA CAFE,Y,01/23/2014
05/14/2012,372139,,05/14/2012,MONSERRATE HERNANDEZ,N,
05/14/2012,372142,11/17/2014,05/14/2012,THOMAS LIOTT JR,N,
05/14/2012,372143,,05/14/2012,RAM SOLUTION INC,N,
01/07/2013,374540,,12/31/2012,BARRY KEIM GENERAL CONTRACTOR,N,
01/15/2013,374541,,12/31/2012,JUAN FRANCISCO LOPEZ,N,
01/15/2013,374544,,01/02/2013,"NEWPORT ENTERPRISE, LLC",N,
02/01/2013,374545,,01/02/2013,SHEILA A BOBET,N,
02/15/2013,374542,,01/02/2013,JUAN PAULINO,N,
01/01/2013,374546,,01/02/2013,RODRIGO ARANA,N,
08/16/2001,374543,,01/02/2013,MARLENE ESTEVEZ,N,
08/29/2013,377442,,,JARIANNI GROCERY,N,
08/29/2013,376859,,08/29/2013,JARIANNI GROCERY,N,
01/20/2013,376861,,08/29/2013,VELADOR LLC  PIZZA VILLA,N,
08/29/2013,376858,,08/29/2013,J & C GLOBAL SOLUTIONS,N,
09/01/2013,376860,,08/29/2013,READING PROPERTY INVESTMENTS,N,
09/01/2013,376843,,08/27/2013,DAISY ORTIZ,N,
04/19/2013,376846,,08/27/2013,SPECIALTY CARE CARDIOVASCULAR,N,
09/15/2013,376866,,08/30/2013,CESARINA SANTANA MONTAS,N,
09/01/2013,376840,,08/26/2013,ERNST LABISSIERE,N,
08/20/2011,376842,03/03/2014,08/26/2013,LEANDRO MARRERO,Y,03/03/2014
01/01/2012,376845,,08/27/2013,MARISOL ALVAREZ,N,
09/01/2013,376849,,08/28/2013,KYLE'S BARBER SHOP,N,
09/01/2013,376851,,08/29/2013,CLUB BIENESTAR TOTAL,N,
06/01/2013,376869,01/01/2014,08/30/2013,PPG ARCHITECTURAL FINISHES,Y,08/30/2013
09/01/2013,376870,,08/30/2013,JOSE GUIRACOCHA,N,
06/01/2013,376871,,08/30/2013,RICHARD RIVERA,N,
10/05/2013,376804,,08/20/2013,THE WHITE HOUSE DAY CARE 2 INC,N,
08/20/2013,376809,,08/20/2013,BOHORQUEZ HOME IMPROVEMENT,N,
08/20/2013,376810,,08/20/2013,STEWART TREE CARE,N,
02/01/2013,376812,,08/20/2013,MILLONAIRE WEB LLC,N,
09/02/2013,376814,,08/20/2013,BEST IN SERVICE CORP,N,
09/15/2013,376818,,08/21/2013,EXACT RF BROADCAST & WIRELESS,N,
07/07/2010,364415,,12/06/2012,READING RIVERTRIBE LLC,N,
08/01/2013,376824,,08/22/2013,INTEGRATIVE MASSAGE & REIKI,N,
10/01/2013,376829,,08/23/2013,VTRON LLC,N,
09/01/2013,376830,,08/23/2013,AHA REALTY CORP,N,
10/01/2013,376833,,08/23/2013,C BOYLAN CONTRACTOR,N,
09/01/2013,376834,,08/23/2013,ALEKS A SALKS,N,
08/12/2013,376723,,08/12/2013,ALL TYPE FENCE CO,N,
08/12/2013,376731,,08/12/2013,BMOREBOSSY SUPREME CLEANING,N,
09/01/2013,376743,,08/14/2013,BELINDA K RENTAS,Y,08/14/2013
09/01/2013,376820,,,HIDALGO GROCERY,N,
09/01/2013,376744,01/06/2014,08/14/2013,HIDALGO GROCERY,N,
08/19/2013,376750,,08/15/2013,JIMMY'S CONSTRUCTION,N,
08/16/2013,376722,,08/12/2013,LOUIS TAVERAS,N,
05/01/2013,376736,,08/13/2013,EAST END FIRE STOP INC,N,
09/01/2013,376740,,08/13/2013,VILMA ESCOBAR,N,
07/01/2013,376741,,08/14/2013,YELLOW HOUSE CROSSING INC,N,
07/01/2013,376758,,08/16/2013,MARIA PADILLA,N,
07/01/2013,376759,,08/16/2013,EVELYN LEIVA,N,
08/01/2013,376658,,08/06/2013,TOD A KAHN,N,
08/07/2013,376665,,08/07/2013,ESPINAL CONSTRUCTION,N,
08/08/2013,376716,,08/08/2013,EGAN SIGN,N,
11/01/2006,376721,,08/09/2013,COLON VICTOR,N,
08/02/2013,376630,,08/05/2013,COUNTRY LANE POULTRY,N,
05/01/2013,376631,,08/05/2013,"W.C ESHENAUR & SON, INC",N,
07/16/2013,376632,,08/05/2013,"SCOTT FICK PLUMBING,HEATING",N,
08/01/2013,376659,12/31/2013,08/06/2013,CONSTRUCTION MASTERS,Y,11/26/2014
09/01/2013,376662,,08/07/2013,IRENE BATISTA,N,
08/08/2013,376703,,08/08/2013,NEW FRONTIER BUILDERS LLC,N,
07/21/2013,376704,,08/08/2013,MOHR VISIONS,N,
08/08/2013,376708,,08/08/2013,L J KAZMIERCZAK CONTRACTING,N,
08/07/2013,376627,,08/01/2013,STEVE CRYTS GENERAL CONTRACTOR,N,
04/01/2011,376579,,07/30/2013,MICHAEL OSTAN,N,
07/01/2013,376409,,07/11/2013,JUSTIN ARMSTRONG,N,
07/09/2013,376380,12/13/2013,07/09/2013,FALLEN ANGELS TATTOO,Y,01/23/2014
07/09/2013,378928,,,FALLEN ANGELS TATTOO,Y,10/28/2014
08/15/2013,376373,,07/08/2013,NADIA ASAD,N,
08/15/2013,376374,,07/10/2013,SFNZ LLC,N,
07/20/2013,376379,,07/09/2013,WH DANCE ACADEMY,N,
07/20/2013,376381,,07/09/2013,ZOGAS MECHANICAL,N,
07/10/2013,376385,,07/09/2013,SPOT MOBILE,N,
07/09/2013,376388,,07/09/2013,INTEGRITY CONSTRUCTION SOLUTIO,N,
07/15/2013,376393,,07/10/2013,KENIA ESTRELLA,N,
07/30/2013,376397,,07/10/2013,"MEXICAN RESTAURANT ""LUPITA""",Y,12/18/2013
07/10/2013,376398,,07/10/2013,HIGH POINT EXPRESS,N,
07/04/2013,376402,,07/10/2013,ANAYBIS POLANCO,N,
09/01/2013,376406,,07/10/2013,HANK BJORLIN,N,
07/12/2013,376413,,07/11/2013,T W FREDERICK CONTRACTING,N,
07/11/2013,376414,,07/11/2013,DOUBLE A SERVICE CO,N,
06/21/2013,376240,,06/21/2013,SWEETERRA FARM,N,
02/21/2013,376244,,06/24/2013,RASHID TRANSPORT,N,
06/01/2011,376245,03/11/2014,06/24/2013,MARIA GUTIERREZ,Y,03/11/2014
06/24/2013,376247,,06/24/2013,AM CLEANING,N,
06/18/2013,376175,,06/17/2013,ARNOLD MINI MARKET & REST,N,
06/18/2013,376181,,06/18/2013,FAUSTINO SUAREZ,N,
06/20/2013,376202,,06/19/2013,GREGORY'S WOODWORKING,N,
07/01/2013,376213,,06/19/2013,YK KOMIN STORE,N,
07/01/2013,376166,,06/17/2013,EDUARDO'S TAXI SERVICES,Y,09/05/2014
12/05/2013,377705,,12/05/2013,SHANK DOOR CO,N,
12/05/2013,377719,01/01/2014,12/05/2013,FREZY ADRIANA CARDOSO,N,
06/01/2012,377733,,12/09/2013,KLAUS KLATT,N,
01/01/2014,377754,,12/09/2013,FOODMART,N,
01/01/2014,378016,,,FOODMART,N,
01/01/2014,377755,,12/09/2013,T & M RECYCLING LLC,N,
12/23/2013,377756,,12/09/2013,GJR UNLIMITED LLC,N,
10/01/2013,377765,,12/11/2013,REBECCA NAZARIO,N,
10/15/2013,377771,01/01/2014,12/12/2013,LAW OFFICES OF KLINE & NADIROV,N,
01/01/2014,377806,,12/16/2013,DIAMOND PROFESIONAL CLEANING,N,
01/06/2014,377821,,12/19/2013,ACADEMIC FOUNDATIONS LLC,N,
02/01/2014,377850,,12/24/2013,J'S AUTO CENTER LLC,N,
01/02/2014,377852,,12/26/2013,TDO PROFESSIONAL SERVICES,N,
01/01/2014,377853,,12/26/2013,ALL QUALITY PAINTING & REPAIR,N,
11/16/2013,377855,,12/27/2013,MARIE G CADEAU & JACQUELINE,N,
04/01/2014,377858,,12/27/2013,ONE STOP DELI & GROCERY,N,
04/01/2014,378797,,,ONE STOP DELI & GROCERY,N,
01/14/2014,377860,,12/30/2013,ROYLE PLUMBING LL,N,
01/01/2014,378009,,,LA CABANA,N,
01/01/2014,377867,,12/30/2013,LA CABANA,N,
02/14/2014,378350,01/01/2015,02/14/2014,STAR CONSTRUCTION,N,
01/02/2014,377888,,12/30/2013,SUBWAY,N,
01/01/2014,377889,,12/31/2013,RCM SIGNS,N,
01/17/2014,377902,,01/02/2014,MARK RAUGH ELECTRICAL,N,
01/06/2014,377910,02/11/2014,01/06/2014,RODRIGUEZ GRECIA,Y,02/11/2014
01/06/2014,377912,,01/06/2014,ROBERT RODRIGUEZ,N,
01/01/2012,377915,01/01/2015,01/07/2014,T&T PROPERTIES,N,
01/01/2014,377103,,10/01/2013,COMCAST BUSINESS CLASS SECURIT,N,
10/01/2013,377110,,10/01/2013,GOHN & STAMBAUGH,N,
10/01/2013,377111,,10/01/2013,BUZYNSKI ELECTRICAL CONTRACTOR,N,
10/01/2013,377112,,10/01/2013,REAL SERVICES INC,N,
08/01/2013,377113,,10/01/2013,K PROPERTY LLC,N,
05/01/2013,377114,,10/01/2013,DINOSAUR DEMOLITION,N,
10/03/2013,377131,02/07/2014,10/03/2013,JOE SCHMOE REAL ESTATE,Y,02/07/2014
10/07/2013,377148,,10/04/2013,PROFESSIONAL CONSTRUCTION,N,
09/08/2010,365257,,09/13/2010,ISMAEL RODRIGUEZ,N,
04/10/2007,365041,,09/26/2011,MOHAN R ISAAC,N,
08/24/2010,365042,,09/20/2011,DEYCI A FERREIRA,N,
01/01/2004,365164,,09/22/2011,MARIA GARCIA JESUS,N,
08/01/2010,365268,,09/13/2010,SABRINA'S GOURMET DELI LLC,N,
08/01/2010,369716,,,SABRINA'S GOURMET DELI LLC,Y,05/22/2012
08/02/2010,364773,10/20/2010,,MELON YARD SALE,Y,06/08/2011
09/15/2010,365264,12/31/2010,09/21/2010,BECL OR FURNITURE DESIGNS,Y,06/10/2011
09/29/2010,365500,,09/29/2010,VILLALBA DELI GROCERY,Y,01/14/2014
08/01/2009,365509,,09/29/2010,ECUMEX DRYWALL,N,
10/15/2010,365515,10/31/2013,02/23/2011,CHAR'S BAZAAR,Y,04/24/2014
10/01/2010,365517,01/13/2012,09/20/2011,LA FAMIA,Y,01/13/2012
06/01/2010,365531,05/15/2013,10/06/2010,SDR MECHANICAL INC,Y,05/15/2013
02/17/2010,365537,,10/07/2010,TEH MANAGEMENT LLC,N,
02/17/2010,365538,,10/07/2010,TEH REALTY I LLC,N,
06/10/2010,365539,,10/07/2010,TEH REALTY II LLC,N,
02/12/2010,365540,,10/07/2010,TEH REALTY LLC,N,
08/02/2010,364741,03/20/2011,04/15/2011,DECARLO'S FOOD CORP,Y,12/29/2011
09/01/2011,365005,,01/05/2011,RICARDO & LEELIAN SEAVICHAY,N,
08/24/2010,365006,,09/20/2011,W S HOME IMPROVEMENTS,N,
09/01/2010,365058,02/10/2014,09/14/2011,WANDA L SULE,N,
09/01/2010,365127,,09/20/2011,JANINA DELI & GROCERY,N,
09/17/2010,365378,,09/20/2011,PURPLE NAIL SALON,N,
10/01/2010,365516,,01/09/2012,ALEX NG,N,
09/01/2010,365575,,01/14/2011,RANDY BOWEN,N,
11/01/2010,365574,,01/11/2011,KENLEY BAZILE,N,
10/14/2010,365548,06/13/2014,11/28/2011,FIORDALIZA SANCHEZ,N,
06/11/2010,365582,,10/15/2010,JEF INVESTMENTS LLC,N,
09/09/2010,365583,,10/15/2010,AVALEX INVESTMENTS LLC,N,
09/01/2010,365587,,10/15/2010,PACHECO LUIS & LAURA,N,
10/15/2010,365590,,09/13/2011,ROBERT GALANTE JR,N,
01/07/2011,365593,,10/18/2010,DIAMOND TOUCH BARBERSHOP,N,
10/25/2010,365608,10/23/2013,10/20/2010,EMMANUEL VARIETY STORE,Y,10/23/2013
11/15/2010,365613,08/14/2012,10/20/2010,N & B CHECK CASHING,Y,08/14/2012
11/05/2010,365718,12/31/2010,11/05/2010,CASTRO VERONICA,Y,01/05/2011
11/29/2010,365777,,11/15/2010,DILUZIO GENNARO SCOTTO,N,
11/01/2010,365779,,11/15/2010,HIGHLAND REAL ESTATE GROUP,N,
