AccountNo,Account Description,Dollars,Budget Year,Budget Type
01-01-01-4202,Printing,400,2002,Actual
01-01-01-4203,Rentals/Lease,5000,2002,Actual
01-01-01-4216,Contracted Services,5460,2002,Actual
01-01-01-4307,Conferences/Training,2000,2002,Actual
01-01-01-4506,Office Supplies,500,2002,Actual
01-01-01-4509,Postage,100,2002,Actual
01-01-01-4739,Contingencies,2521.47,2002,Actual
01-01-01-4900,Fringe Benefits,23205,2002,Actual
01-01-01-4901,Pension,4446,2002,Actual
01-02-09-3300,Newsletter Advertising Proceed,-500,2002,Actual
01-02-09-4000,Salaries,98501,2002,Actual
01-02-09-4216,Contracted Services,5000,2002,Actual
01-02-09-4224,Legal Services,30000,2002,Actual
01-02-09-4307,Conferences/Training,4000,2002,Actual
01-02-09-4506,Office Supplies,1000,2002,Actual
01-02-09-4740,Community Promotions,25000,2002,Actual
01-02-09-4900,Fringe Benefits,11498,2002,Actual
01-02-09-4901,Pension,2205,2002,Actual
01-03-08-4000,Salaries,75495,2002,Actual
01-03-08-4307,Conferences/Training,960,2002,Actual
01-03-08-4308,Subscriptions,350,2002,Actual
01-03-08-4317,Dues,775,2002,Actual
01-03-08-4510,General Plant Supplies,100,2002,Actual
01-03-08-4739,Contingencies,1242.33,2002,Actual
01-03-08-4900,Fringe Benefits,13790,2002,Actual
01-03-08-4901,Pension,2642,2002,Actual
01-04-06-4000,Salaries,113172,2002,Actual
01-04-06-4200,Advertising,20000,2002,Actual
01-04-06-4307,Conferences/Training,2000,2002,Actual
01-04-06-4308,Subscriptions,150,2002,Actual
01-04-06-4317,Dues,1550,2002,Actual
01-04-06-4506,Office Supplies,200,2002,Actual
01-04-06-4510,General Plant Supplies,500,2002,Actual
01-04-06-4525,Minor Capital Equipment,1175,2002,Actual
01-04-06-4700,Travel Expense,250,2002,Actual
01-04-06-4739,Contingencies,2800,2002,Actual
01-04-06-4900,Fringe Benefits,20672,2002,Actual
01-04-06-4901,Pension,3961,2002,Actual
01-05-07-4000,Salaries,30000,2002,Actual
01-05-07-4200,Advertising,500,2002,Actual
01-05-07-4202,Printing,4500,2002,Actual
01-05-07-4205,Codified Ordinance,12000,2002,Actual
01-05-07-4307,Conferences/Training,1000,2002,Actual
01-05-07-4308,Subscriptions,1000,2002,Actual
01-05-07-4525,Minor Capital Equipment,1000,2002,Actual
01-05-07-4900,Fringe Benefits,5475,2002,Actual
01-05-07-4901,Pension,1050,2002,Actual
01-06-10-3542,School District Collection,-75000,2002,Actual
01-06-10-3743,Miscellaneous,-3440,2002,Actual
01-06-10-4000,Salaries,142089,2002,Actual
01-06-10-4006,Overtime,250,2002,Actual
01-06-10-4203,Rentals/Lease,1200,2002,Actual
01-06-10-4216,Contracted Services,1500,2002,Actual
01-06-10-4411,Maintenance Agreements,9251,2002,Actual
01-06-10-4506,Office Supplies,2050,2002,Actual
01-06-10-4900,Fringe Benefits,25954,2002,Actual
01-06-10-4901,Pension,4890,2002,Actual
01-06-13-4000,Salaries,146466,2002,Actual
01-06-13-4307,Conferences/Training,1500,2002,Actual
01-06-13-4308,Subscriptions,500,2002,Actual
01-06-13-4317,Dues,205,2002,Actual
01-06-13-4506,Office Supplies,800,2002,Actual
01-06-13-4739,Contingencies,10928,2002,Actual
01-06-13-4900,Fringe Benefits,26753,2002,Actual
01-06-13-4901,Pension,5126,2002,Actual
01-06-16-4000,Salaries,67570,2002,Actual
01-06-16-4202,Printing,1000,2002,Actual
01-06-16-4203,Rentals/Lease,20340,2002,Actual
01-06-16-4216,Contracted Services,8100,2002,Actual
01-06-16-4307,Conferences/Training,1000,2002,Actual
01-06-16-4308,Subscriptions,20,2002,Actual
01-06-16-4317,Dues,365,2002,Actual
01-06-16-4402,Maintenance/Repair Equipment,5500,2002,Actual
01-06-16-4411,Maintenance Agreements,162884,2002,Actual
01-06-16-4506,Office Supplies,30000,2002,Actual
01-06-16-4510,General Plant Supplies,31000,2002,Actual
01-06-16-4900,Fringe Benefits,12342,2002,Actual
01-06-16-4901,Pension,2365,2002,Actual
01-06-18-4000,Salaries,168172,2002,Actual
01-06-18-4006,Overtime,3000,2002,Actual
01-06-18-4222,Consulting Services,5500,2002,Actual
01-06-18-4307,Conferences/Training,1500,2002,Actual
01-06-18-4308,Subscriptions,500,2002,Actual
01-06-18-4317,Dues,55,2002,Actual
01-06-18-4506,Office Supplies,2000,2002,Actual
01-06-18-4900,Fringe Benefits,30718,2002,Actual
01-06-18-4901,Pension,5886,2002,Actual
01-06-21-3160,Admissions Fee/Tax,-267521,2002,Actual
01-06-21-3631,School District Tax Services,-283250,2002,Actual
01-06-21-3632,Duplicate Bill Fee,-4740,2002,Actual
01-06-21-3634,Certifications,-22140,2002,Actual
01-06-21-3758,Cost Reimbursement-Grants Acct,-600,2002,Actual
01-06-21-4000,Salaries,390847,2002,Actual
01-06-21-4002,Longevity,3175,2002,Actual
01-06-21-4006,Overtime,15080,2002,Actual
01-06-21-4120,Refund 511 Taxes,6500,2002,Actual
01-06-21-4200,Advertising,1100,2002,Actual
01-06-21-4202,Printing,14000,2002,Actual
01-06-21-4214,Collection Expense,60000,2002,Actual
01-06-21-4224,Legal Services,1500,2002,Actual
01-06-21-4307,Conferences/Training,1000,2002,Actual
01-06-21-4308,Subscriptions,900,2002,Actual
01-06-21-4317,Dues,200,2002,Actual
01-06-21-4506,Office Supplies,1500,2002,Actual
01-06-21-4525,Minor Capital Equipment,3000,2002,Actual
01-06-21-4700,Travel Expense,200,2002,Actual
01-06-21-4900,Fringe Benefits,71392,2002,Actual
01-06-21-4901,Pension,13680,2002,Actual
01-06-22-3631,School District Tax Services,-26000,2002,Actual
01-06-22-4000,Salaries,27389,2002,Actual
01-06-22-4006,Overtime,460,2002,Actual
01-06-22-4203,Rentals/Lease,1600,2002,Actual
01-06-22-4308,Subscriptions,60,2002,Actual
01-06-22-4402,Maintenance/Repair Equipment,8580,2002,Actual
01-06-22-4506,Office Supplies,500,2002,Actual
01-06-22-4509,Postage,140000,2002,Actual
01-06-22-4900,Fringe Benefits,5003,2002,Actual
01-06-22-4901,Pension,959,2002,Actual
01-06-23-3631,School District Tax Services,-26000,2002,Actual
01-06-23-4000,Salaries,327355,2002,Actual
01-06-23-4006,Overtime,1920,2002,Actual
01-06-23-4203,Rentals/Lease,870,2002,Actual
01-06-23-4222,Consulting Services,25000,2002,Actual
01-06-23-4235,Fees,16220,2002,Actual
01-06-23-4307,Conferences/Training,30000,2002,Actual
01-06-23-4402,Maintenance/Repair Equipment,27430,2002,Actual
01-06-23-4411,Maintenance Agreements,41249,2002,Actual
01-06-23-4506,Office Supplies,6000,2002,Actual
01-06-23-4802,Machinery and Equipment,41500,2002,Actual
01-06-23-4900,Fringe Benefits,59795,2002,Actual
01-06-23-4901,Pension,12981,2002,Actual
01-06-26-4000,Salaries,36000,2002,Actual
01-06-26-4216,Contracted Services,7500,2002,Actual
01-06-26-4307,Conferences/Training,500,2002,Actual
01-06-26-4308,Subscriptions,100,2002,Actual
01-06-26-4317,Dues,155,2002,Actual
01-06-26-4506,Office Supplies,300,2002,Actual
01-06-26-4900,Fringe Benefits,6576,2002,Actual
01-06-26-4901,Pension,1260,2002,Actual
01-07-14-4000,Salaries,410501,2002,Actual
01-07-14-4006,Overtime,5000,2002,Actual
01-07-14-4203,Fleet Maint. - Other Juris.,71000,2002,Actual
01-07-14-4216,Contracted Services,125000,2002,Actual
01-07-14-4307,Conferences/Training,3300,2002,Actual
01-07-14-4308,Small Engine Repair,950,2002,Actual
01-07-14-4317,Dues,370,2002,Actual
01-07-14-4402,Maintenance/Repair Equipment,3000,2002,Actual
01-07-14-4411,Maintenance Agreements,435,2002,Actual
01-07-14-4500,Vehicle Supplies,11000,2002,Actual
01-07-14-4501,Gas,250000,2002,Actual
01-07-14-4502,Tires and Tubes,30000,2002,Actual
01-07-14-4503,Repair Parts,140000,2002,Actual
01-07-14-4504,Uniforms,5000,2002,Actual
01-07-14-4510,General Plant Supplies,4000,2002,Actual
01-07-14-4525,Minor Capital Equipment,9000,2002,Actual
01-07-14-4528,Small tools,4500,2002,Actual
01-07-14-4900,Fringe Benefits,74982,2002,Actual
01-07-14-4901,Pension,14848,2002,Actual
01-07-24-4000,Salaries,220238,2002,Actual
01-07-24-4006,Overtime,5000,2002,Actual
01-07-24-4103,Lighting,2000,2002,Actual
01-07-24-4104,Telephone,200,2002,Actual
01-07-24-4216,Contracted Services,113,2002,Actual
01-07-24-4307,Conferences/Training,807,2002,Actual
01-07-24-4317,Dues,80,2002,Actual
01-07-24-4407,Maintenance/Repairs Property,50000,2002,Actual
01-07-24-4504,Uniforms,1920,2002,Actual
01-07-24-4900,Fringe Benefits,40229,2002,Actual
01-07-24-4901,Pension,7708,2002,Actual
01-07-50-4000,Salaries,126981,2002,Actual
01-07-50-4200,Advertising,500,2002,Actual
01-07-50-4216,Contracted Services,3000,2002,Actual
01-07-50-4307,Conferences/Training,2000,2002,Actual
01-07-50-4308,Subscriptions,250,2002,Actual
01-07-50-4317,Dues,1000,2002,Actual
01-07-50-4506,Office Supplies,1000,2002,Actual
01-07-50-4510,General Plant Supplies,200,2002,Actual
01-07-50-4739,Contingencies,11582,2002,Actual
01-07-50-4900,Fringe Benefits,23194,2002,Actual
01-07-50-4901,Pension,4444,2002,Actual
01-07-51-4000,Salaries,172462,2002,Actual
01-07-51-4002,Longevity,2890,2002,Actual
01-07-51-4006,Overtime,1500,2002,Actual
01-07-51-4216,Contracted Services,120,2002,Actual
01-07-51-4222,Consulting Services,1800,2002,Actual
01-07-51-4307,Conferences/Training,630,2002,Actual
01-07-51-4317,Dues,450,2002,Actual
01-07-51-4402,Maintenance/Repair Equipment,1000,2002,Actual
01-07-51-4504,Uniforms,2000,2002,Actual
01-07-51-4510,General Plant Supplies,3400,2002,Actual
01-07-51-4900,Fringe Benefits,31502,2002,Actual
01-07-51-4901,Pension,6036,2002,Actual
01-07-52-4000,Salaries,890931,2002,Actual
01-07-52-4006,Overtime,75000,2002,Actual
01-07-52-4216,Contracted Services,5000,2002,Actual
01-07-52-4235,Fees,121500,2002,Actual
01-07-52-4307,Conferences/Training,500,2002,Actual
01-07-52-4504,Uniforms,5000,2002,Actual
01-07-52-4510,General Plant Supplies,14000,2002,Actual
01-07-52-4523,Hiway Maint/Repair,2500,2002,Actual
01-07-52-4525,Minor Capital Equipment,6000,2002,Actual
01-07-52-4900,Fringe Benefits,162737,2002,Actual
01-07-52-4901,Pension,31183,2002,Actual
01-07-71-4000,Salaries,656003,2002,Actual
01-07-71-4006,Overtime,15000,2002,Actual
01-07-71-4216,Contracted Services,50000,2002,Actual
01-07-71-4307,Conferences/Training,500,2002,Actual
01-07-71-4401,Maintenance/Repair Building,6000,2002,Actual
01-07-71-4504,Uniforms,5000,2002,Actual
01-07-71-4510,General Plant Supplies,28000,2002,Actual
01-07-71-4514,Botanical Supplies,6000,2002,Actual
01-07-71-4525,Minor Capital Equipment,8000,2002,Actual
01-07-71-4900,Fringe Benefits,119825,2002,Actual
01-07-71-4901,Pension,23053,2002,Actual
01-07-73-3554,Grants and Gifts,-3000,2002,Actual
01-07-73-3556,Recreation Activities Revenue,-37000,2002,Actual
01-07-73-3710,Checking Account Revenue,-12000,2002,Actual
01-07-73-3763,CD Cost Reimbursement,-65000,2002,Actual
01-07-73-4000,Salaries,224706,2002,Actual
01-07-73-4006,Overtime,2500,2002,Actual
01-07-73-4200,Advertising,6000,2002,Actual
01-07-73-4216,Contracted Services,3000,2002,Actual
01-07-73-4230,Indirect Cost Allocation,10000,2002,Actual
01-07-73-4307,Conferences/Training,2000,2002,Actual
01-07-73-4317,Dues,1000,2002,Actual
01-07-73-4402,Maintenance/Repair Equipment,800,2002,Actual
01-07-73-4504,Uniforms,7000,2002,Actual
01-07-73-4509,Postage,8000,2002,Actual
01-07-73-4510,General Plant Supplies,50000,2002,Actual
01-07-73-4513,Chemical Supplies,11000,2002,Actual
01-07-73-4514,Botanical Supplies,300,2002,Actual
01-07-73-4522,Medical/Surgical Supplies,700,2002,Actual
01-07-73-4525,Minor Capital Equipment,1000,2002,Actual
01-07-73-4554,Misc Expend for Recreation,3000,2002,Actual
01-07-73-4556,Recreation Activities Expendit,7000,2002,Actual
01-07-73-4700,Travel Expense,2000,2002,Actual
01-07-73-4900,Fringe Benefits,41045,2002,Actual
01-07-73-4901,Pension,7865,2002,Actual
01-07-74-3104,Telephone Reimbursement,-18000,2002,Actual
01-07-74-3636,Other Department Earnings,-20000,2002,Actual
01-07-74-4000,Salaries,454719,2002,Actual
01-07-74-4006,Overtime,6000,2002,Actual
01-07-74-4100,Fuel,65000,2002,Actual
01-07-74-4101,Light & Power,370000,2002,Actual
01-07-74-4104,Telephone,280000,2002,Actual
01-07-74-4133,Gas-Utilities,150000,2002,Actual
01-07-74-4203,Rentals/Lease,601,2002,Actual
01-07-74-4216,Contracted Services,55000,2002,Actual
01-07-74-4222,Consulting Services,3000,2002,Actual
01-07-74-4307,Conferences/Training,500,2002,Actual
01-07-74-4401,Maintenance/Repair Building,5000,2002,Actual
01-07-74-4402,Maintenance/Repair Equipment,35000,2002,Actual
01-07-74-4405,Maintenance Supplies,58000,2002,Actual
01-07-74-4504,Uniforms,5000,2002,Actual
01-07-74-4505,Janitorial Supplies,35000,2002,Actual
01-07-74-4510,General Plant Supplies,108350,2002,Actual
01-07-74-4525,Minor Capital Equipment,30000,2002,Actual
01-07-74-4900,Fringe Benefits,83059,2002,Actual
01-07-74-4901,Pension,16009,2002,Actual
01-08-28-4000,Salaries,1709429,2002,Actual
01-08-28-4001,Holiday Pay,93387,2002,Actual
01-08-28-4002,Longevity,72933,2002,Actual
01-08-28-4004,Salaries Civilian,36065,2002,Actual
01-08-28-4005,Overtime Civilian,1000,2002,Actual
01-08-28-4006,Overtime,204000,2002,Actual
01-08-28-4007,Court Time,32000,2002,Actual
01-08-28-4008,Minor Judiciary,40000,2002,Actual
01-08-28-4203,Rentals/Lease,12660,2002,Actual
01-08-28-4211,Maintenance Agreements,3760,2002,Actual
01-08-28-4216,Contracted Services,1800,2002,Actual
01-08-28-4308,Subscriptions,2635,2002,Actual
01-08-28-4317,Dues,1005,2002,Actual
01-08-28-4402,Maintenance/Repair Equipment,1000,2002,Actual
01-08-28-4506,Office Supplies,2000,2002,Actual
01-08-28-4510,General Plant Supplies,60000,2002,Actual
01-08-28-4525,Minor Capital Equipment,1250,2002,Actual
01-08-28-4733,Vice Funds,25000,2002,Actual
01-08-28-4900,Fringe Benefits,318832,2002,Actual
01-08-28-4901,Pension,1262,2002,Actual
01-08-28-4902,Police Pension,233897,2002,Actual
01-08-29-4000,Salaries,425958,2002,Actual
01-08-29-4001,Holiday Pay,22942,2002,Actual
01-08-29-4002,Longevity,25939,2002,Actual
01-08-29-4004,Salaries Civilian,307567,2002,Actual
01-08-29-4005,Overtime Civilian,25000,2002,Actual
01-08-29-4006,Overtime,9000,2002,Actual
01-08-29-4017,Salaries Temp Office Employees,15000,2002,Actual
01-08-29-4202,Printing,2000,2002,Actual
01-08-29-4203,Rentals/Lease,550,2002,Actual
01-08-29-4216,Contracted Services,210,2002,Actual
01-08-29-4307,Conferences/Training,27500,2002,Actual
01-08-29-4308,Subscriptions,400,2002,Actual
01-08-29-4317,Dues,1230,2002,Actual
01-08-29-4402,Maintenance/Repair Equipment,9000,2002,Actual
01-08-29-4506,Office Supplies,2600,2002,Actual
01-08-29-4510,General Plant Supplies,40000,2002,Actual
01-08-29-4614,Police Academy,107475,2002,Actual
01-08-29-4900,Fringe Benefits,133985,2002,Actual
01-08-29-4901,Pension,10765,2002,Actual
01-08-29-4902,Police Pension,58995,2002,Actual
01-08-30-4000,Salaries,6773010,2002,Actual
01-08-30-4001,Holiday Pay,354643,2002,Actual
01-08-30-4002,Longevity,160188,2002,Actual
01-08-30-4004,Salaries Civilian,471786,2002,Actual
01-08-30-4005,Overtime Civilian,60000,2002,Actual
01-08-30-4006,Overtime,353500,2002,Actual
01-08-30-4007,Court Time,70000,2002,Actual
01-08-30-4008,Minor Judiciary,200000,2002,Actual
01-08-30-4017,Salaries Temp Office Employees,59500,2002,Actual
01-08-30-4202,Printing,100,2002,Actual
01-08-30-4203,Rentals/Lease,1623,2002,Actual
01-08-30-4216,Contracted Services,25450,2002,Actual
01-08-30-4308,Subscriptions,1685,2002,Actual
01-08-30-4317,Dues,940,2002,Actual
01-08-30-4402,Maintenance/Repair Equipment,28250,2002,Actual
01-08-30-4411,Maintenance Agreements,8712,2002,Actual
01-08-30-4504,Uniforms,80000,2002,Actual
01-08-30-4506,Office Supplies,1000,2002,Actual
01-08-30-4510,General Plant Supplies,30000,2002,Actual
01-08-30-4525,Minor Capital Equipment,39430,2002,Actual
01-08-30-4625,K-9 Corps,5110,2002,Actual
01-08-30-4732,Care/Feeding Prisoners,1000,2002,Actual
01-08-30-4900,Fringe Benefits,1323332,2002,Actual
01-08-30-4901,Pension,16513,2002,Actual
01-08-30-4902,Police Pension,938062,2002,Actual
01-08-31-3554,Grants and Gifts,-105474,2002,Actual
01-08-31-3627,Bomb K-9 Squad Fee,-300,2002,Actual
01-08-31-3629,Alarm Malfunction Fee,-25000,2002,Actual
01-08-31-3632,Duplicate Bill Fee,-2000,2002,Actual
01-08-31-3636,Other Department Earnings,-74854,2002,Actual
01-08-31-3650,Police Services/Copy Service,-149608,2002,Actual
01-08-31-3651,D.A.R.E Program,-30000,2002,Actual
01-08-31-3653,Towing Revenue,-17100,2002,Actual
01-08-31-3654,Burglary/Robery Alarm Ordinanc,-5000,2002,Actual
01-08-31-3743,Miscellaneous,-100000,2002,Actual
01-08-31-3777,Heart and Lung Reimbursement,-100000,2002,Actual
01-08-31-4000,Salaries,204981,2002,Actual
01-08-31-4001,Holiday Pay,7702,2002,Actual
01-08-31-4002,Longevity,9270,2002,Actual
01-08-31-4004,Salaries Civilian,30031,2002,Actual
01-08-31-4006,Overtime,2000,2002,Actual
01-08-31-4216,Contracted Services,39000,2002,Actual
01-08-31-4222,Consulting Services,4000,2002,Actual
01-08-31-4308,Subscriptions,1395,2002,Actual
01-08-31-4317,Dues,8870,2002,Actual
01-08-31-4402,Maintenance/Repair Equipment,1500,2002,Actual
01-08-31-4411,Maintenance Agreements,77985,2002,Actual
01-08-31-4504,Uniforms,2500,2002,Actual
01-08-31-4506,Office Supplies,3000,2002,Actual
01-08-31-4510,General Plant Supplies,25000,2002,Actual
01-08-31-4739,Contingencies,1051.09,2002,Actual
01-08-31-4900,Fringe Benefits,42927,2002,Actual
01-08-31-4901,Pension,1051,2002,Actual
01-08-31-4902,Police Pension,28400,2002,Actual
01-09-32-3620,Fire Incident Reports,-2000,2002,Actual
01-09-32-3623,False Fire Alarm Fee,-15000,2002,Actual
01-09-32-3636,Other Department Earnings,-2000,2002,Actual
01-09-32-3637,Certified Ambulance Group Rev,-6000,2002,Actual
01-09-32-3642,Fire Prevention Permits,-40000,2002,Actual
01-09-32-3777,Heart and Lung Reimbursement,-228000,2002,Actual
01-09-32-4000,Salaries,341461,2002,Actual
01-09-32-4001,Holiday Pay,12040,2002,Actual
01-09-32-4002,Longevity,8585,2002,Actual
01-09-32-4003,Uniform/Clothing Allowance,2500,2002,Actual
01-09-32-4006,Overtime,1000,2002,Actual
01-09-32-4202,Printing,1450,2002,Actual
01-09-32-4203,Rentals/Lease,17823,2002,Actual
01-09-32-4207,Fire Company Approp,20200,2002,Actual
01-09-32-4216,Contracted Services,135000,2002,Actual
01-09-32-4218,MVA Billing Expense,1200,2002,Actual
01-09-32-4235,Fees,19520,2002,Actual
01-09-32-4307,Conferences/Training,2000,2002,Actual
01-09-32-4308,Subscriptions,1871,2002,Actual
01-09-32-4315,Physical Fitness,3461,2002,Actual
01-09-32-4317,Dues,145,2002,Actual
01-09-32-4402,Maintenance/Repair Equipment,70000,2002,Actual
01-09-32-4510,General Plant Supplies,9000,2002,Actual
01-09-32-4513,Chemical Supplies,13000,2002,Actual
01-09-32-4522,Medical/Surgical Supplies,800,2002,Actual
01-09-32-4728,Explorer Post,575,2002,Actual
01-09-32-4739,Contingencies,11002.36,2002,Actual
01-09-32-4802,Machinery and Equipment,9720,2002,Actual
01-09-32-4900,Fringe Benefits,62371,2002,Actual
01-09-32-4901,Pension,1955.44,2002,Actual
01-09-32-4903,Fire Pension,17876,2002,Actual
01-09-33-4000,Salaries,126827,2002,Actual
01-09-33-4001,Holiday Pay,6828,2002,Actual
01-09-33-4002,Longevity,4250,2002,Actual
01-09-33-4003,Uniform/Clothing Allowance,1500,2002,Actual
01-09-33-4006,Overtime,23000,2002,Actual
01-09-33-4231,Scuba Team,6745,2002,Actual
01-09-33-4307,Conferences/Training,29200,2002,Actual
01-09-33-4308,Subscriptions,545,2002,Actual
01-09-33-4317,Dues,375,2002,Actual
01-09-33-4510,General Plant Supplies,1000,2002,Actual
01-09-33-4740,Community Promotions,13200,2002,Actual
01-09-33-4802,Machinery and Equipment,5700,2002,Actual
01-09-33-4900,Fringe Benefits,23166,2002,Actual
01-09-33-4901,Pension,2635,2002,Actual
01-09-33-4903,Fire Pension,6640,2002,Actual
01-09-34-4000,Salaries,4655966,2002,Actual
01-09-34-4001,Holiday Pay,266955,2002,Actual
01-09-34-4002,Longevity,137930,2002,Actual
01-09-34-4003,Uniform/Clothing Allowance,62400,2002,Actual
01-09-34-4006,Overtime,300000,2002,Actual
01-09-34-4900,Fringe Benefits,850457,2002,Actual
01-09-34-4903,Fire Pension,243748,2002,Actual
01-10-17-4000,Salaries,174012,2002,Actual
01-10-17-4002,Longevity,350,2002,Actual
01-10-17-4200,Advertising,200,2002,Actual
01-10-17-4202,Printing,1500,2002,Actual
01-10-17-4235,Fees,15000,2002,Actual
01-10-17-4307,Conferences/Training,1000,2002,Actual
01-10-17-4308,Subscriptions,1000,2002,Actual
01-10-17-4510,General Plant Supplies,500,2002,Actual
01-10-17-4900,Fringe Benefits,31785,2002,Actual
01-10-17-4901,Pension,6090,2002,Actual
01-10-36-3277,Restitution,-25000,2002,Actual
01-10-36-3279,PMD Placard Removal Fees,-21000,2002,Actual
01-10-36-3281,Appeal Fees,-700,2002,Actual
01-10-36-3287,Graffiti Reimbursements,-1000,2002,Actual
01-10-36-4000,Salaries,111576,2002,Actual
01-10-36-4006,Overtime,1000,2002,Actual
01-10-36-4202,Printing,2000,2002,Actual
01-10-36-4216,Contracted Services,500,2002,Actual
01-10-36-4307,Conferences/Training,2000,2002,Actual
01-10-36-4308,Subscriptions,100,2002,Actual
