apby,apdttm,apname,permit,comments,declvltn,deptcm,commercedesc,expdttm,issby,issdttm,laststg,laststgdesc,lstactdttm,nextstgdesc,planrev,pri,pridesc,primaplid,stat,statby,statdttm,worktype,worktypedesc,contractor,address,addr1,addr2,city,state,zip
13103,Jan  5 2010  1:31PM,,25121,DEMOLITION OF PROPERTY  CMK,4500,RES,RESIDENTIAL,Jul 13 2010  3:50PM,13103,Jan 13 2010  3:50PM,39,Pre-Issue COO,Jan 13 2010  3:50PM,Issue COO,Y,,,1775,Open,,,WHOLE,WHOLE DEMOLITION,BARWIS CONSTRUCTION LLC,517 CRESTMONT ST  ,P.O. BOX 97,,LIMEKILN,PA,19535-    
13103,Jan  5 2010  1:35PM,,25122,DEMOLITION OF PROPERTY  CMK,4500,RES,RESIDENTIAL,Jul 13 2010  3:51PM,13103,Jan 13 2010  3:50PM,40,Issue COO,Jan 13 2010  3:51PM,Pre-Complete,Y,,,1775,Open,,,WHOLE,WHOLE DEMOLITION,BARWIS CONSTRUCTION LLC,512 ARLINGTON ST  ,P.O. BOX 97,,LIMEKILN,PA,19535-    
13103,Jan  5 2010  1:43PM,,25123,DEMOLITION OF PROPERTY  CMK,4500,RES,RESIDENTIAL,Jul 13 2010  3:51PM,13103,Jan 13 2010  3:51PM,40,Issue COO,Jan 13 2010  3:51PM,Pre-Complete,Y,,,1775,Open,,,WHOLE,WHOLE DEMOLITION,BARWIS CONSTRUCTION LLC,514 ARLINGTON ST  ,P.O. BOX 97,,LIMEKILN,PA,19535-    
13103,Jan  5 2010  1:47PM,,25124,DEMOLITION OF PROPERTY  CMK,4500,RES,RESIDENTIAL,Jul 13 2010  3:51PM,13103,Jan 13 2010  3:51PM,40,Issue COO,Jan 13 2010  3:51PM,Pre-Complete,Y,,,1775,Open,,,WHOLE,WHOLE DEMOLITION,BARWIS CONSTRUCTION LLC,520 ARLINGTON ST  ,P.O. BOX 97,,LIMEKILN,PA,19535-    
13103,Jan  5 2010  1:54PM,,25125,DEMOLITION OF PROPERTY  CMK,4500,RES,RESIDENTIAL,Jul 13 2010  3:51PM,13103,Jan 13 2010  3:51PM,40,Issue COO,Jan 13 2010  3:51PM,Pre-Complete,Y,,,1775,Open,,,WHOLE,WHOLE DEMOLITION,BARWIS CONSTRUCTION LLC,522 ARLINGTON ST  ,P.O. BOX 97,,LIMEKILN,PA,19535-    
13103,Jan  5 2010  1:59PM,,25126,DEMOLITION OF PROPERTY  CMK,4500,RES,RESIDENTIAL,Jul 13 2010  3:51PM,13103,Jan 13 2010  3:51PM,40,Issue COO,Jan 13 2010  3:51PM,Pre-Complete,Y,,,1775,Open,,,WHOLE,WHOLE DEMOLITION,BARWIS CONSTRUCTION LLC,524 ARLINGTON ST  ,P.O. BOX 97,,LIMEKILN,PA,19535-    
13103,Mar  2 2010 11:35AM,,25574,DEMOLITION OF REAR GARAGE  CMK   NO UTILITIES,300,RES,RESIDENTIAL,Sep  4 2010  2:14PM,13103,Mar  4 2010  2:14PM,40,Issue COO,Mar  4 2010  2:14PM,Pre-Complete,Y,,,9072,Open,,,WHOLE,WHOLE DEMOLITION,RAZE THE ROOF,1119 CHESTNUT ST  ,832 N 12TH ST,,READING,PA,19604-    
13103,Mar 12 2010 10:08AM,,25663,DEMOLITION OF REAR GARAGE THAT COLLAPSED AFTER SNOW STORM  CMK,500,RES,RESIDENTIAL,Sep 12 2010 10:13AM,13103,Mar 12 2010 10:13AM,40,Issue COO,Mar 12 2010 10:13AM,Pre-Complete,Y,,,AC662299,Open,,,PARTL,PARTIAL DEMOLITION,BILL SCOTT M/BETH ANN  ,1715 PERKIOMEN AV  ,1715 PERKIOMEN AVE,,READING,PA,19602-2224
13103,Apr  6 2010 11:11AM,,25851,DEMOLITION OF HOUSE  CMK,39450,RES,RESIDENTIAL,Oct  8 2010 10:43AM,13103,Apr  6 2010  1:02PM,40,Issue COO,Apr  8 2010 10:43AM,Pre-Complete,Y,,,5049,Open,,,WHOLE,WHOLE DEMOLITION,O'BRIEN WRECKING CO INC,155 WALNUT ST  ,1803 N 10TH STREET,,READING,PA,19604-    
13103,Apr 19 2010 10:03AM,,25958,COMPLETE DEMOLITION OF COMMERCIAL GARAGE  CMK,18000,COM,COMMERCIAL,Oct 26 2010  8:53AM,13103,Apr 26 2010  8:52AM,39,Pre-Issue COO,Apr 26 2010  8:53AM,Issue COO,Y,,,B2229,Open,,,WHOLE,WHOLE DEMOLITION,EMPIRE WRECKING CO,112 PEACH ST  ,1420 CLARION STREET,,READING,PA,19601-    
13103,May 10 2010  3:49PM,,26152,DEMOLITION AND REMOVAL  CMK,22000,COM,COMMERCIAL,Nov 24 2010  2:01PM,13103,May 24 2010  2:01PM,40,Issue COO,May 24 2010  2:01PM,Pre-Complete,Y,,,5013,Open,,,WHOLE,WHOLE DEMOLITION,BRICE EXCAVATING LLC,717 TULPEHOCKEN ST  ,1896 FRIEDENSBURG RD,,READING,PA,19606-    
13103,May 24 2010  8:57AM,,26286,DEMOLITION OF REAR GARAGE  NO UTILITIES AND IS NOT FASTENED TO ANOTHER BUILDING  CMK,300,RES,RESIDENTIAL,Nov 24 2010  2:20PM,13103,May 24 2010  9:04AM,40,Issue COO,May 24 2010  2:20PM,Pre-Complete,Y,,,731969,Open,,,PARTL,PARTIAL DEMOLITION,SANDOVAL LUIS LUSARDO GARCIA- ,816 N 8TH ST  ,1652 MULBERRY ST,,READING,PA,19604-1710
13103,Jun 21 2010  8:37AM,,26591,DEMOLITION OF EXISTING REAR RESIDENTIAL VEHICLE GARAGE  CMK,450,RES,RESIDENTIAL,Dec 21 2010  8:56AM,13103,Jun 21 2010  8:56AM,40,Issue COO,Jun 21 2010  8:56AM,Pre-Complete,Y,,,9504,Open,,,PARTL,PARTIAL DEMOLITION,CALTAGIRONE CONTRACTING,522 BIRCH ST  ,512 MARCH ST,,SHILLINGTON,PA,19607-    
13103,Jun 21 2010 11:17AM,,26597,DEMOLITION OF GARDEN STATE TANNING BUILDING  CMK,267200,COM,COMMERCIAL,Dec 28 2010 11:06AM,13103,Jun 28 2010 11:06AM,40,Issue COO,Jun 28 2010 11:06AM,Pre-Complete,Y,,,4138,Open,,,WHOLE,WHOLE DEMOLITION,TRIPOINT PROPERTIES INC,122 S 3RD ST  ,150 E PENNSYLVANIA AVE STE 400,,DOWNINGTOWN,PA,19335-    
13103,Jun 28 2010  2:34PM,,26889,DEMOLITION OF RESIDENTIAL STRUCTURE  CMK,24000,RES,RESIDENTIAL,Dec 28 2010  2:43PM,,,19,Pre-Issue Permit,Jun 28 2010  2:44PM,Issue Permit,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,324 S 8TH ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Jun 28 2010  3:28PM,,26897,DEMOLITION OF RESIDENTIAL STRUCTURE  CMK,10000,RES,RESIDENTIAL,Dec 28 2010  3:29PM,,,19,Pre-Issue Permit,Jun 28 2010  3:29PM,Issue Permit,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,421 MILTIMORE ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Jun 30 2010 11:48AM,,26931,DEMOLITION OF HOUSE  CMK,5100,RES,RESIDENTIAL,Dec 30 2010 12:00AM,,,19,Pre-Issue Permit,Jun 30 2010 11:51AM,Issue Permit,Y,,,B2229,Open,,,WHOLE,WHOLE DEMOLITION,EMPIRE WRECKING CO,1054 BENNERS CT  ,1420 CLARION STREET,,READING,PA,19601-    
13103,Jun 30 2010  1:14PM,,26932,DEMOLITION OF HOUSE  CMK,5100,RES,RESIDENTIAL,Dec 30 2010  1:15PM,,,19,Pre-Issue Permit,Jun 30 2010  1:16PM,Issue Permit,Y,,,B2229,Open,,,WHOLE,WHOLE DEMOLITION,EMPIRE WRECKING CO,1052 BENNERS CT  ,1420 CLARION STREET,,READING,PA,19601-    
13103,Jun 30 2010  1:23PM,,26933,DEMOLITION OF HOUSE  CMK,5100,RES,RESIDENTIAL,Dec 30 2010  1:32PM,,,19,Pre-Issue Permit,Jun 30 2010  1:32PM,Issue Permit,Y,,,B2229,Open,,,WHOLE,WHOLE DEMOLITION,EMPIRE WRECKING CO,1049 BENNERS CT  ,1420 CLARION STREET,,READING,PA,19601-    
13103,Jun 30 2010  1:34PM,,26935,DEMOLITION OF HOUSE  CMK,5100,RES,RESIDENTIAL,Jan 19 2011  1:35PM,13103,Jul 19 2010  1:35PM,39,Pre-Issue COO,Jul 19 2010  1:35PM,Issue COO,Y,,,B2229,Open,,,WHOLE,WHOLE DEMOLITION,EMPIRE WRECKING CO,1047 BENNERS CT  ,1420 CLARION STREET,,READING,PA,19601-    
13103,Jun 30 2010  1:38PM,,26936,DEMOLITION OF HOUSE   CMK,5100,RES,RESIDENTIAL,Jan 19 2011  1:35PM,13103,Jul 19 2010  1:35PM,39,Pre-Issue COO,Jul 19 2010  1:35PM,Issue COO,Y,,,B2229,Open,,,WHOLE,WHOLE DEMOLITION,EMPIRE WRECKING CO,1058 BENNERS CT  ,1420 CLARION STREET,,READING,PA,19601-    
13103,Jul 13 2010  3:19PM,,27019,DEMOLITION OF STRUCTURE  CMK,2000,COM,COMMERCIAL,Jan 19 2011  1:49PM,13103,Jul 13 2010  3:25PM,40,Issue COO,Jul 19 2010  1:49PM,Pre-Complete,Y,,,9597,Open,,,WHOLE,WHOLE DEMOLITION,RICE CONSTRUCTION,924 PENN ST  ,201 S GOODSPRING RD,,HEGINS,PA,17938-    
13103,Jul 16 2010  9:09AM,,27080,DEMOLITION OF OLD GARAGE TO TOP OF SLAB  CMKINTERSTATE CONTAINER,4250,COM,COMMERCIAL,Feb 16 2011 11:08AM,13103,Aug 16 2010 11:08AM,40,Issue COO,Aug 16 2010 11:08AM,Pre-Complete,Y,,,9604,Open,,,WHOLE,WHOLE DEMOLITION,MAYER POLLOCK STEEL CORP,118 N GRACE ST  ,PO BOX 759,,POTTSTOWN,PA,19464-    
13103,Jul 22 2010  1:59PM,,27168,DEMOLITION AND REMOVAL OF RESIDENTIAL STRUCTURE  CMK,20000,RES,RESIDENTIAL,Feb 16 2011 11:24AM,13103,Aug 16 2010 11:24AM,40,Issue COO,Aug 16 2010 11:24AM,Pre-Complete,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,433 GORDON ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Jul 22 2010  2:09PM,,27169,DEMOLITION AND REMOVAL OF RESIDENTIAL STRUCTURE  CMK,20000,RES,RESIDENTIAL,Feb 16 2011 11:24AM,13103,Aug 16 2010 11:24AM,40,Issue COO,Aug 16 2010 11:24AM,Pre-Complete,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,431 GORDON ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Jul 23 2010 10:35AM,,27187,DEMOLITION OF GARAGE  AT REAR OF PROPERTY  CMK,500,RES,RESIDENTIAL,Feb 16 2011 11:36AM,13103,Aug 16 2010 11:36AM,40,Issue COO,Aug 16 2010 11:36AM,Pre-Complete,Y,,,AC686896,Open,,,WHOLE,WHOLE DEMOLITION,CITY VIEW INV GROUP LLC  ,1121 CHESTNUT ST  ,1812 STATE HILL RD # 128,,READING,PA,19610-1604
13103,Aug 16 2010  9:57AM,,27408,DEMOLITION AND REMOVAL OF RESIDENTIAL STRUCTURE  CMK,26500,RES,RESIDENTIAL,Feb 28 2011  8:52AM,13103,Aug 30 2010  8:52AM,40,Issue COO,Aug 30 2010  8:52AM,Pre-Complete,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,328 PEAR ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Aug 17 2010 10:51AM,,27440,DEMOLITION AND REMOVAL OF RESIDENTIAL STRUCTURE  CMK,25800,RES,RESIDENTIAL,Feb 28 2011  8:55AM,13103,Aug 30 2010  8:55AM,40,Issue COO,Aug 30 2010  8:55AM,Pre-Complete,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,417 GORDON ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Aug 17 2010 10:54AM,,27441,DEMOLITION AND REMOVAL OF RESIDENTIAL STRUCTURE  CMK,15000,RES,RESIDENTIAL,Feb 28 2011  8:55AM,13103,Aug 30 2010  8:55AM,40,Issue COO,Aug 30 2010  8:55AM,Pre-Complete,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,453 GORDON ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Aug 30 2010  2:19PM,,27560,DEMOLITION AND REMOVAL OF RESIDENTIAL STRUCTURE  CMK,24000,RES,RESIDENTIAL,Apr 12 2011 10:57AM,13103,Oct 12 2010 10:57AM,40,Issue COO,Oct 12 2010 10:57AM,Pre-Complete,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,431 TULPEHOCKEN ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Aug 30 2010  2:24PM,,27561,DEMOLITION AND REMOVAL OF RESIDENTIAL STRUCTURE  CMK,24000,RES,RESIDENTIAL,Apr 12 2011 10:57AM,13103,Oct 12 2010 10:57AM,40,Issue COO,Oct 12 2010 10:57AM,Pre-Complete,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,433 TULPEHOCKEN ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Aug 30 2010  2:28PM,,27562,DEMOLITION AND REMOVAL OF RESIDENTIAL STRUCTURE  CMK,24800,RES,RESIDENTIAL,Apr 12 2011 10:57AM,13103,Oct 12 2010 10:57AM,40,Issue COO,Oct 12 2010 10:57AM,Pre-Complete,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,459 TULPEHOCKEN ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Sep 10 2010 11:24AM,,27647,DEMOLITION AND REMOVAL OF RESIDENTIAL STRUCTURE  CMK,30000,RES,RESIDENTIAL,Apr 12 2011  1:38PM,13103,Oct 12 2010  1:38PM,40,Issue COO,Oct 12 2010  1:38PM,Pre-Complete,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,269 W BUTTONWOOD ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Sep 10 2010 11:29AM,,27648,DEMOLITION AND REMOVAL OF RESIDENTIAL STRUCTURE  CMK,13500,RES,RESIDENTIAL,Apr 12 2011  1:38PM,13103,Oct 12 2010  1:38PM,40,Issue COO,Oct 12 2010  1:38PM,Pre-Complete,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,628 N FRONT ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Sep 14 2010  9:41AM,,27671,"SELECTIVE DEMOLITION OF OFFICES, LOCKER ROOMS AND RESTROOMS  CONCRETE RESTORATION OF GRANDSTAND AREA, FOUNDATIONS AND MICROPILES  CMKREADING PHILLIES STADIUM",1054445,COM,COMMERCIAL,Apr 12 2011  1:42PM,13103,Oct 12 2010  1:42PM,40,Issue COO,Oct 12 2010  1:42PM,Pre-Complete,Y,,,B2274,Open,,,PARTL,PARTIAL DEMOLITION,BURKEY CONSTRUCTION,2000 CENTRE AV  ,506 MORGANTOWN ROAD,,READING,PA,19611-    
13103,Sep 17 2010  2:15PM,,27725,DEMOLITION AND REMOVAL OF RESIDENTIAL STRUCTURE  CMK,19975,RES,RESIDENTIAL,Apr 12 2011  1:52PM,13103,Oct 12 2010  1:52PM,40,Issue COO,Oct 12 2010  1:52PM,Pre-Complete,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,118 W ELM ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Oct 27 2010 10:03AM,,28118,REMOVAL OF TOP TWO FLOORS   CMK,3000,COM,COMMERCIAL,Apr 30 2011 10:08AM,13103,Oct 30 2010 10:08AM,40,Issue COO,Oct 30 2010 10:08AM,Pre-Complete,Y,,,AC354723,Open,,,PARTL,PARTIAL DEMOLITION,KOSIBA MAREK T  ,300 S 8TH ST  ,13 CLUB LN,,READING,PA,19607-3302
13103,Nov  3 2010  1:57PM,,28289,DEMOLITION OF HOUSE   CMK,15860,RES,RESIDENTIAL,Jun 10 2011 12:00AM,13103,Dec 10 2010  2:23PM,40,Issue COO,Aug 28 2013  9:27AM,Pre-Complete,Y,,,1775,Open,,,WHOLE,WHOLE DEMOLITION,BARWIS CONSTRUCTION LLC, ,P.O. BOX 97,,LIMEKILN,PA,19535-    
13103,Nov  4 2010  2:27PM,,28311,DEMOLITION AND REMOVAL OF RESIDENTIAL STRUCTURE  CMK,23800,RES,RESIDENTIAL,Jun 10 2011  2:27PM,13103,Dec 10 2010  2:26PM,40,Issue COO,Dec 10 2010  2:27PM,Pre-Complete,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,419 TULPEHOCKEN ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Nov  4 2010  2:31PM,,28312,DEMOLITION AND REMOVAL OF RESIDENTIAL STRUCTURE  CMK,25800,RES,RESIDENTIAL,Jun 10 2011  2:28PM,13103,Dec 10 2010  2:28PM,40,Issue COO,Dec 10 2010  2:28PM,Pre-Complete,Y,,,B2073,Open,,,WHOLE,WHOLE DEMOLITION,NORTHEAST IND SERV CORP,445 TULPEHOCKEN ST  ,507 N SHAMOKIN ST,,SHAMOKIN,PA,17872-6717
13103,Jan  5 2011 10:12AM,,28780,DEMOLITION OF BUILDING  CMK,39700,RES,RESIDENTIAL,Aug 18 2011  1:51PM,13103,Feb 18 2011  1:49PM,40,Issue COO,Feb 18 2011  1:51PM,Pre-Complete,Y,,,10016,Open,,,WHOLE,WHOLE DEMOLITION,GLEN MILLER DEMOLITION & EXCAV,161 CLYMER ST  ,973 BERKS STREET,,BIRDSBORO,PA,19508-    
13103,Jan 28 2011 11:26AM,,29078,DEMOLITION OF BUILDING  CMK,2000,COM,COMMERCIAL,Aug 18 2011  2:41PM,13103,Feb 18 2011  2:41PM,40,Issue COO,Feb 18 2011  2:41PM,Pre-Complete,Y,,,9597,Open,,,WHOLE,WHOLE DEMOLITION,RICE CONSTRUCTION,930 PENN ST  ,201 S GOODSPRING RD,,HEGINS,PA,17938-    
13103,Feb 18 2011  9:25AM,,29281,DEMOLISH 2 STORY RESIDENCE TO GRADE  CMK,2000,RES,RESIDENTIAL,Aug 18 2011  9:28AM,,,19,Pre-Issue Permit,Feb 18 2011  9:29AM,Issue Permit,Y,,,B5716,Open,,,WHOLE,WHOLE DEMOLITION,WW PLETZ & SONS,1233 CLARION ST  ,1242 ALLEGHENY AVE,,READING,PA,19601-    
13103,Apr  4 2011  1:05PM,,29739,EMERGENCY DEMOLITION OF GARAGE ORDERED BY CITY BUILDING INSPECTOR.  CMK,5500,OTHER,OTHER,Oct 21 2011 12:00AM,13103,Apr 21 2011  8:14AM,99,Pre-Complete,May  5 2011  1:38PM,Complete,Y,,,5049,Closed,13103,Apr 21 2011  8:15AM,PARTL,PARTIAL DEMOLITION,O'BRIEN WRECKING CO INC,318 N 6TH ST R,1803 N 10TH STREET,,READING,PA,19604-    
13115,Apr 14 2011  9:13AM,,29868,demolition of building,25000,COM,COMMERCIAL,Oct 15 2011  3:04PM,13115,Apr 14 2011  9:23AM,40,Issue COO,Apr 15 2011  3:04PM,Pre-Complete,Y,,,5049,Open,,,WHOLE,WHOLE DEMOLITION,O'BRIEN WRECKING CO INC,413 LANCASTER AV  ,1803 N 10TH STREET,,READING,PA,19604-    
